fcpu,fgpu,cpu_uti,gpu_uti,mem_uti,cpu_temp,gpu_temp,inference_time,total_time,fps,VDD_IN
345600,114750000,76.8,42.3,5.5,29.9,28.1,16.758,38.049,45.59,3194
499200,114750000,61.4,50.3,6.0,30.3,28.6,16.424,30.585,45.74,3137
652800,114750000,65.1,58.8,6.5,30.6,29.0,16.697,27.535,45.84,3255
806400,114750000,58.3,60.0,6.8,30.9,29.3,16.562,25.939,45.83,3304
960000,114750000,62.0,63.3,7.0,31.1,29.4,16.791,25.177,45.96,3372
1113600,114750000,51.5,66.1,7.2,31.3,29.5,16.312,24.049,45.96,3418
1267200,114750000,49.2,69.2,7.4,31.3,29.7,16.332,23.231,45.81,3484
1420800,114750000,51.5,71.3,7.6,31.4,29.8,16.287,22.518,45.93,3567
1574400,114750000,42.2,72.7,7.7,31.5,29.8,16.280,22.188,45.95,3618
1728000,114750000,41.6,73.9,7.8,31.6,30.1,16.259,21.669,45.95,3726
1881600,114750000,31.3,74.8,7.9,31.8,30.2,16.325,21.499,45.92,3819
2035200,114750000,32.5,73.3,7.9,32.1,30.4,16.247,21.184,46.00,3928
345600,216750000,77.4,29.1,6.1,31.4,29.8,8.834,28.160,86.80,3030
499200,216750000,75.7,37.0,7.3,31.3,29.8,8.623,22.206,87.01,3249
652800,216750000,67.4,42.3,8.2,31.3,29.9,8.610,19.315,87.05,3414
806400,216750000,65.1,43.3,8.9,31.5,29.9,8.688,17.530,87.15,3553
960000,216750000,67.3,48.5,9.4,31.5,29.9,8.605,16.120,87.09,3653
1113600,216750000,64.4,54.4,9.9,31.6,30.1,8.615,15.278,87.20,3742
1267200,216750000,62.1,53.8,10.2,31.8,30.2,8.660,14.749,87.16,3848
1420800,216750000,46.5,54.4,10.4,32.0,30.5,8.660,14.248,87.20,3964
1574400,216750000,60.3,58.9,10.8,32.1,30.6,8.578,13.729,87.31,4105
1728000,216750000,58.7,60.4,10.9,32.3,30.8,8.578,13.500,87.44,4187
1881600,216750000,62.1,62.2,11.1,32.5,30.9,8.578,13.303,87.20,4380
2035200,216750000,44.3,59.2,11.2,32.9,31.2,8.575,13.159,87.38,4494
345600,318750000,78.7,22.5,6.5,31.9,30.3,6.054,25.566,124.71,3052
499200,318750000,79.0,26.0,7.9,31.7,30.1,6.035,19.715,127.66,3317
652800,318750000,65.4,33.5,9.1,31.8,30.2,5.923,16.490,127.08,3516
806400,318750000,56.4,36.8,9.9,31.9,30.4,5.877,14.588,128.17,3649
960000,318750000,67.8,39.9,10.6,31.9,30.5,5.958,13.526,127.77,3779
1113600,318750000,56.2,43.5,11.3,32.0,30.5,5.881,12.478,127.93,3952
1267200,318750000,63.6,44.3,11.8,32.2,30.7,5.878,11.879,127.80,4081
1420800,318750000,70.3,48.1,12.2,32.3,30.8,5.876,11.347,128.07,4240
1574400,318750000,64.1,48.1,12.5,32.5,30.9,5.873,10.909,127.99,4358
1728000,318750000,64.8,50.6,12.8,32.7,31.2,5.869,10.586,127.92,4541
1881600,318750000,45.0,47.2,13.2,32.9,31.5,5.879,10.277,127.78,4782
2035200,318750000,63.8,52.7,13.4,33.2,31.6,5.863,9.980,128.10,4947
345600,420750000,78.8,15.4,6.5,32.2,30.6,5.878,25.143,128.28,3048
499200,420750000,66.9,23.9,8.0,31.9,30.6,5.673,19.255,132.20,3334
652800,420750000,82.3,27.5,9.1,31.9,30.5,5.595,16.123,134.03,3498
806400,420750000,64.5,29.1,10.0,31.9,30.6,5.628,14.389,135.41,3653
960000,420750000,61.5,27.4,10.7,32.1,30.6,5.521,12.990,136.10,3794
1113600,420750000,68.0,34.3,11.4,32.2,30.7,5.503,12.092,136.70,3911
1267200,420750000,53.0,31.4,12.0,32.2,30.8,5.493,11.554,137.07,4113
1420800,420750000,66.5,39.1,12.4,32.5,31.0,5.489,10.911,137.23,4256
1574400,420750000,67.2,33.4,12.8,32.6,31.2,5.480,10.497,137.13,4391
1728000,420750000,66.0,34.8,13.2,32.8,31.4,5.474,10.142,137.51,4572
1881600,420750000,57.4,38.0,13.3,33.1,31.6,5.466,9.822,137.61,4708
2035200,420750000,70.8,40.7,13.8,33.4,31.9,5.465,9.540,137.62,5017
345600,522750000,60.3,16.9,6.4,32.3,30.9,5.825,25.470,129.18,3052
499200,522750000,78.9,21.1,7.9,32.1,30.6,5.680,19.290,132.14,3319
652800,522750000,70.4,22.0,9.2,32.0,30.6,5.584,16.117,134.44,3526
806400,522750000,75.8,22.8,10.0,32.2,30.7,5.539,14.251,135.43,3712
960000,522750000,52.1,26.3,10.8,32.2,30.7,5.519,12.958,136.11,3836
1113600,522750000,53.8,30.4,11.5,32.3,30.8,5.513,12.041,136.47,3965
1267200,522750000,74.9,26.0,11.9,32.5,31.0,5.496,11.428,136.75,4109
1420800,522750000,60.4,28.8,12.3,32.6,31.2,5.486,10.893,137.31,4218
1574400,522750000,67.9,25.6,12.8,32.7,31.3,5.480,10.472,137.12,4384
1728000,522750000,65.8,28.1,13.1,33.0,31.5,5.472,10.138,137.62,4579
1881600,522750000,65.8,39.1,13.5,33.3,31.9,5.471,9.797,137.12,4845
2035200,522750000,46.1,34.2,13.6,33.5,32.1,5.463,9.578,137.59,4980
345600,624750000,83.7,13.4,6.4,32.5,31.0,5.826,25.288,129.68,3059
499200,624750000,72.8,15.7,7.8,32.2,30.9,5.685,19.370,132.14,3306
652800,624750000,76.6,19.6,9.0,32.2,30.7,5.585,16.121,134.42,3490
806400,624750000,61.2,20.8,10.0,32.2,30.8,5.544,14.247,135.08,3691
960000,624750000,74.3,21.1,10.7,32.3,30.9,5.523,12.976,135.89,3827
1113600,624750000,61.8,16.6,11.4,32.4,31.1,5.507,12.071,136.54,3951
1267200,624750000,70.6,21.5,11.8,32.5,31.3,5.494,11.502,136.91,4080
1420800,624750000,70.1,24.6,12.2,32.7,31.3,5.488,10.921,137.08,4222
1574400,624750000,64.7,25.8,12.7,32.8,31.3,5.484,10.501,137.06,4390
1728000,624750000,63.1,20.6,13.0,32.9,31.6,5.477,10.155,137.45,4591
1881600,624750000,61.7,24.9,13.4,33.1,31.8,5.472,9.791,137.26,4828
2035200,624750000,63.9,29.0,13.6,33.5,32.2,5.467,9.554,137.52,5007
345600,726750000,73.5,8.0,6.4,32.5,30.9,5.825,25.203,129.73,3045
499200,726750000,74.8,10.9,7.9,32.3,30.8,5.660,19.102,132.60,3301
652800,726750000,76.7,13.5,9.0,32.2,30.7,5.590,16.149,134.30,3497
806400,726750000,73.8,19.2,10.0,32.3,30.7,5.545,14.182,135.22,3665
960000,726750000,74.3,15.4,10.6,32.4,31.0,5.529,13.002,135.74,3765
1113600,726750000,66.1,21.7,11.3,32.5,31.0,5.510,12.100,136.31,3924
1267200,726750000,68.7,18.9,11.8,32.5,31.1,5.504,11.497,136.65,4079
1420800,726750000,69.7,16.2,12.2,32.7,31.3,5.488,10.928,136.92,4220
1574400,726750000,56.2,22.9,12.6,33.0,31.4,5.485,10.500,137.05,4384
1728000,726750000,66.1,20.6,13.0,33.1,31.5,5.480,10.133,137.19,4596
1881600,726750000,64.1,26.4,13.2,33.3,31.9,5.475,9.817,137.09,4802
2035200,726750000,48.7,24.1,13.6,33.5,32.2,5.466,9.540,137.38,5046
345600,828750000,81.1,9.1,6.4,32.6,31.1,5.805,24.884,129.99,3110
499200,828750000,64.2,10.5,7.9,32.4,30.9,5.688,19.284,132.28,3371
652800,828750000,68.1,9.2,8.9,32.3,30.9,5.591,16.191,134.37,3550
806400,828750000,73.5,17.6,9.9,32.4,31.0,5.550,14.286,134.94,3745
960000,828750000,67.5,19.8,10.7,32.7,31.1,5.525,12.928,135.78,3912
1113600,828750000,72.3,17.4,11.3,32.7,31.2,5.509,12.110,136.54,4000
1267200,828750000,58.6,13.8,11.8,32.6,31.3,5.497,11.430,137.03,4116
1420800,828750000,68.9,15.2,12.2,32.8,31.4,5.493,10.906,137.17,4222
1574400,828750000,68.0,23.6,12.6,33.1,31.6,5.487,10.465,136.80,4434
1728000,828750000,65.9,21.9,13.0,33.2,31.7,5.479,10.109,137.35,4617
1881600,828750000,62.5,23.6,13.3,33.4,32.0,5.474,9.795,137.41,4830
2035200,828750000,63.3,22.9,13.5,33.6,32.3,5.470,9.544,137.35,5016
345600,930750000,81.1,11.5,6.4,32.8,31.2,5.905,25.377,127.46,3160
499200,930750000,80.4,13.1,7.9,32.6,31.1,5.659,19.143,132.66,3437
652800,930750000,81.2,13.5,9.0,32.8,31.1,5.602,16.119,134.07,3677
806400,930750000,56.5,14.2,9.9,32.8,31.3,5.553,14.174,134.87,3821
960000,930750000,67.5,15.2,10.7,32.8,31.3,5.532,12.941,135.82,3979
1113600,930750000,68.4,14.3,11.3,32.9,31.6,5.514,12.038,136.21,4122
1267200,930750000,71.3,17.0,11.8,33.1,31.7,5.496,11.326,137.03,4215
1420800,930750000,71.2,24.3,12.2,33.2,31.8,5.488,10.826,137.15,4287
1574400,930750000,45.1,16.5,12.6,33.2,31.9,5.484,10.446,137.07,4425
1728000,930750000,67.5,20.6,13.0,33.2,32.0,5.479,10.116,137.20,4608
1881600,930750000,64.5,18.2,13.3,33.5,32.3,5.476,9.790,137.09,4857
2035200,930750000,56.5,22.9,13.5,33.8,32.7,5.475,9.544,137.43,5076
345600,1032750000,80.9,8.9,6.3,32.9,31.4,5.830,25.237,129.15,3218
499200,1032750000,72.3,7.0,7.8,32.7,31.4,5.663,19.239,132.30,3508
652800,1032750000,76.1,12.1,8.9,32.8,31.4,5.584,16.157,134.66,3726
806400,1032750000,70.0,10.1,9.9,33.0,31.5,5.550,14.218,135.20,3913
960000,1032750000,69.4,21.4,10.6,33.0,31.7,5.519,12.919,136.02,4077
1113600,1032750000,67.0,14.7,11.3,33.1,31.7,5.509,12.037,136.56,4239
1267200,1032750000,68.1,16.5,11.8,33.2,31.9,5.499,11.341,136.75,4335
1420800,1032750000,50.8,13.8,12.2,33.3,31.9,5.492,10.827,136.85,4407
1574400,1032750000,68.5,22.0,12.6,33.3,32.1,5.482,10.414,137.14,4490
1728000,1032750000,57.5,13.6,12.9,33.4,32.1,5.484,10.087,137.18,4641
1881600,1032750000,59.1,19.7,13.2,33.5,32.4,5.473,9.790,137.23,4875
2035200,1032750000,61.4,18.7,13.5,34.0,32.6,5.471,9.542,137.46,5101
345600,1134750000,81.7,8.9,6.4,33.0,31.6,5.826,24.896,129.35,3308
499200,1134750000,62.9,8.4,7.8,32.9,31.5,5.658,19.129,132.44,3613
652800,1134750000,68.7,13.2,9.0,32.9,31.6,5.592,16.106,134.13,3859
806400,1134750000,61.1,15.6,9.9,33.1,31.8,5.556,14.201,134.95,4060
960000,1134750000,75.3,12.6,10.7,33.2,31.9,5.530,12.899,135.93,4238
1113600,1134750000,65.8,15.3,11.3,33.3,32.1,5.515,12.028,136.35,4392
1267200,1134750000,71.2,16.3,11.7,33.4,32.1,5.499,11.344,136.97,4483
1420800,1134750000,65.9,19.3,12.1,33.5,32.2,5.492,10.839,137.06,4570
1574400,1134750000,64.8,19.3,12.6,33.7,32.3,5.482,10.393,136.94,4662
1728000,1134750000,66.1,15.5,12.9,33.9,32.5,5.476,10.031,137.14,4778
1881600,1134750000,65.3,14.8,13.3,34.1,32.7,5.473,9.766,137.07,4946
2035200,1134750000,55.5,18.7,13.5,34.1,32.9,5.471,9.509,137.43,5123
345600,1236750000,77.4,5.0,6.3,33.1,31.8,5.822,25.143,129.21,3381
499200,1236750000,82.4,8.3,7.8,33.1,31.7,5.669,19.157,132.39,3738
652800,1236750000,77.7,12.6,9.0,33.2,31.8,5.593,16.121,134.25,4007
806400,1236750000,75.4,11.2,9.9,33.3,31.9,5.556,14.271,134.79,4227
960000,1236750000,65.1,15.7,10.5,33.4,32.1,5.535,13.012,135.78,4341
1113600,1236750000,74.1,13.7,11.1,33.6,32.3,5.515,12.088,136.30,4496
1267200,1236750000,68.8,16.1,11.7,33.8,32.6,5.508,11.387,136.70,4651
1420800,1236750000,67.5,13.3,12.1,34.0,32.6,5.493,10.875,137.05,4779
1574400,1236750000,67.5,11.6,12.5,33.9,32.9,5.494,10.426,137.25,4862
1728000,1236750000,68.3,14.9,12.9,34.1,32.8,5.478,10.060,137.25,4992
1881600,1236750000,71.6,21.4,13.3,34.2,33.0,5.477,9.746,137.13,5118
2035200,1236750000,61.7,13.4,13.5,34.4,33.2,5.477,9.580,137.01,5203
345600,1300500000,84.7,6.2,6.3,33.4,32.1,5.915,25.204,127.34,3444
499200,1300500000,82.4,6.9,7.8,33.2,32.0,5.654,19.203,132.61,3793
652800,1300500000,78.4,11.2,8.9,33.4,32.0,5.587,16.171,134.74,4037
806400,1300500000,72.3,9.2,9.8,33.5,32.2,5.556,14.226,134.81,4263
960000,1300500000,69.8,11.6,10.6,33.8,32.3,5.528,12.952,135.90,4506
1113600,1300500000,74.5,15.2,11.2,33.7,32.6,5.516,12.069,136.49,4644
1267200,1300500000,73.9,8.9,11.7,33.9,32.7,5.499,11.380,136.79,4716
1420800,1300500000,64.2,15.6,12.2,34.0,32.8,5.494,10.813,136.81,4879
1574400,1300500000,68.8,18.9,12.5,34.1,32.9,5.487,10.385,136.89,4947
1728000,1300500000,66.7,14.4,12.9,34.4,33.2,5.477,10.045,137.23,5075
1881600,1300500000,66.4,16.9,13.3,34.5,33.3,5.473,9.759,137.43,5205
2035200,1300500000,63.2,17.1,13.5,34.6,33.4,5.469,9.531,137.38,5274
